Day,mask
1/1/2020,14
1/2/2020,12
1/3/2020,11
1/4/2020,10
1/5/2020,12
1/6/2020,12
1/7/2020,12
1/8/2020,12
1/9/2020,11
1/10/2020,15
1/11/2020,14
1/12/2020,14
1/13/2020,15
1/14/2020,13
1/15/2020,13
1/16/2020,14
1/17/2020,14
1/18/2020,14
1/19/2020,14
1/20/2020,16
1/21/2020,13
1/22/2020,14
1/23/2020,14
1/24/2020,16
1/25/2020,13
1/26/2020,14
1/27/2020,14
1/28/2020,16
1/29/2020,18
1/30/2020,18
1/31/2020,25
2/1/2020,24
2/2/2020,24
2/3/2020,29
2/4/2020,24
2/5/2020,22
2/6/2020,19
2/7/2020,21
2/8/2020,19
2/9/2020,18
2/10/2020,17
2/11/2020,17
2/12/2020,17
2/13/2020,17
2/14/2020,14
2/15/2020,14
2/16/2020,18
2/17/2020,16
2/18/2020,15
2/19/2020,29
2/20/2020,81
2/21/2020,87
2/22/2020,100
2/23/2020,94
2/24/2020,72
2/25/2020,59
2/26/2020,56
2/27/2020,49
2/28/2020,49
2/29/2020,60
3/1/2020,62
3/2/2020,56
3/3/2020,57
3/4/2020,49
3/5/2020,46
3/6/2020,47
3/7/2020,47
3/8/2020,49
3/9/2020,57
3/10/2020,59
3/11/2020,63
3/12/2020,66
3/13/2020,59
3/14/2020,61
3/15/2020,56
3/16/2020,51
3/17/2020,44
3/18/2020,44
3/19/2020,31
3/20/2020,27
3/21/2020,52
3/22/2020,38
3/23/2020,43
3/24/2020,45
3/25/2020,48
3/26/2020,43
3/27/2020,54
3/28/2020,59
3/29/2020,49
3/30/2020,42
3/31/2020,43
4/1/2020,38
4/2/2020,41
4/3/2020,43
4/4/2020,48
4/5/2020,54
4/6/2020,51
4/7/2020,44
4/8/2020,43
4/9/2020,41
4/10/2020,43
4/11/2020,41
4/12/2020,45
4/13/2020,44
4/14/2020,39
4/15/2020,42
4/16/2020,38
4/17/2020,41
4/18/2020,49
4/19/2020,52
4/20/2020,36
4/21/2020,38
4/22/2020,33
4/23/2020,34
4/24/2020,32
4/25/2020,29
4/26/2020,32
4/27/2020,28
4/28/2020,30
4/29/2020,29
4/30/2020,25
5/1/2020,28
5/2/2020,25
5/3/2020,27
5/4/2020,26
5/5/2020,27
5/6/2020,28
5/7/2020,24
5/8/2020,23
5/9/2020,35
5/10/2020,27
5/11/2020,26
5/12/2020,25
5/13/2020,27
5/14/2020,27
5/15/2020,28
5/16/2020,29
5/17/2020,28
5/18/2020,24
5/19/2020,25
5/20/2020,22
5/21/2020,21
5/22/2020,26
5/23/2020,22
5/24/2020,20
5/25/2020,23
5/26/2020,23
5/27/2020,21
5/28/2020,22
5/29/2020,24
5/30/2020,23
5/31/2020,25
6/1/2020,21
6/2/2020,25
6/3/2020,25
6/4/2020,25
6/5/2020,28
6/6/2020,24
6/7/2020,26
6/8/2020,26
6/9/2020,24
6/10/2020,24
6/11/2020,26
6/12/2020,26
6/13/2020,26
6/14/2020,25
6/15/2020,25
6/16/2020,28
6/17/2020,31
6/18/2020,35
6/19/2020,30
6/20/2020,32
6/21/2020,27
6/22/2020,25
6/23/2020,24
6/24/2020,27
6/25/2020,27
6/26/2020,28
6/27/2020,27
6/28/2020,31
6/29/2020,34
6/30/2020,38
7/1/2020,42
7/2/2020,50
7/3/2020,44
7/4/2020,61
7/5/2020,65
7/6/2020,59
7/7/2020,63
7/8/2020,57
7/9/2020,54
7/10/2020,54
7/11/2020,47
7/12/2020,50
7/13/2020,55
7/14/2020,54
7/15/2020,51
7/16/2020,49
7/17/2020,47
7/18/2020,49
7/19/2020,53
7/20/2020,47
7/21/2020,44
7/22/2020,42
7/23/2020,47
7/24/2020,41
7/25/2020,40
7/26/2020,40
7/27/2020,39
7/28/2020,43
7/29/2020,41
7/30/2020,37
7/31/2020,35
8/1/2020,40
8/2/2020,40
8/3/2020,36
